******************************************************** 
*********  Electric Sweeper Enhanced Log File  ***** 
******************************************************** 
Date,20190227,'VE-Alpha4'
Time,Voltage,Current,Isolation,Range,SoC,Distance,Fan rpm,Fan Torque,Hyd. Pump rpm,Hyd. Pump Torque,SW Pump rpm,SW Pump Torque,Nozzle,Sidebrushes,WideSweepBrush,TempIGBT-Fan,Fan motor temp, Traction rpm, Traction torque,BMS1 Volts, BMS2 Volts 
8:05:01,6.610000000e+002,-16,1396,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,-2,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,333,328
8:05:02,6.610000000e+002,-16,1402,114,76,128459,0,0.000000000e+000,2,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,333,328
8:05:03,6.620000000e+002,-16,1402,114,76,128459,0,0.000000000e+000,-1,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,333,328
8:05:04,6.610000000e+002,-15,1402,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,333,328
8:05:05,6.610000000e+002,-15,1402,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,-2,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,333,328
8:05:06,6.620000000e+002,-15,1402,114,76,128459,0,0.000000000e+000,-1,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,333,328
8:05:07,6.620000000e+002,-15,1402,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,-2,0.000000000e+000,Up,Off,Off,16,1.600000000e+001,0,-1,333,328
8:05:08,6.610000000e+002,-15,1402,114,76,128459,1,0.000000000e+000,0,0.000000000e+000,-2,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,333,328
8:05:09,6.610000000e+002,-15,1288,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,333,328
8:05:10,6.610000000e+002,-15,1288,114,76,128459,0,0.000000000e+000,-1,0.000000000e+000,2,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,333,328
8:05:11,6.620000000e+002,-15,1288,114,76,128459,1,0.000000000e+000,-2,0.000000000e+000,-2,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,333,328
8:05:12,6.620000000e+002,-15,1288,114,76,128459,0,0.000000000e+000,2,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,333,328
8:05:14,6.610000000e+002,-15,1288,114,76,128459,0,1.000000000e+000,0,0.000000000e+000,1,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,333,328
8:05:15,6.610000000e+002,-14,1288,114,76,128459,0,0.000000000e+000,-1,0.000000000e+000,-1,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,333,328
8:05:16,6.620000000e+002,-14,1288,114,76,128459,0,0.000000000e+000,1,0.000000000e+000,-1,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,333,328
8:05:17,6.610000000e+002,-14,1147,114,76,128459,0,0.000000000e+000,-1,0.000000000e+000,-1,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,333,328
8:05:18,6.610000000e+002,-14,1147,114,76,128459,0,0.000000000e+000,-1,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.600000000e+001,0,0,333,328
8:05:19,6.620000000e+002,-14,1147,114,76,128459,0,0.000000000e+000,2,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,333,328
8:05:20,6.610000000e+002,-14,1147,114,76,128459,0,0.000000000e+000,-1,0.000000000e+000,3,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,333,328
8:05:21,6.620000000e+002,-14,1147,114,76,128459,0,0.000000000e+000,2,0.000000000e+000,-2,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,333,328
8:05:22,6.610000000e+002,-14,1147,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,1,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,333,328
8:05:23,6.610000000e+002,-14,1147,114,76,128459,0,0.000000000e+000,1,0.000000000e+000,-3,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,333,328
8:05:24,6.620000000e+002,-14,1147,114,76,128459,0,0.000000000e+000,-1,0.000000000e+000,-4,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,333,328
8:05:25,6.620000000e+002,-14,1147,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.600000000e+001,0,0,333,328
8:05:26,6.630000000e+002,-14,1137,114,76,128459,0,0.000000000e+000,2,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.600000000e+001,0,0,333,328
8:05:27,6.610000000e+002,-14,1137,114,76,128459,0,0.000000000e+000,-2,0.000000000e+000,-2,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,333,328
8:05:28,6.610000000e+002,-14,1137,114,76,128459,0,0.000000000e+000,1,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,333,328
8:05:29,6.620000000e+002,-14,1137,114,76,128459,0,0.000000000e+000,2,0.000000000e+000,-3,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,333,328
8:05:30,6.630000000e+002,-13,1137,114,76,128459,0,0.000000000e+000,1,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,333,328
