******************************************************** 
*********  Electric Sweeper Enhanced Log File  ***** 
******************************************************** 
Date,20190227,'VE-Alpha4'
Time,Voltage,Current,Isolation,Range,SoC,Distance,Fan rpm,Fan Torque,Hyd. Pump rpm,Hyd. Pump Torque,SW Pump rpm,SW Pump Torque,Nozzle,Sidebrushes,WideSweepBrush,TempIGBT-Fan,Fan motor temp, Traction rpm, Traction torque,BMS1 Volts, BMS2 Volts 
8:02:54,6.160000000e+002,0,1791,114,76,128459,0,0.000000000e+000,-2,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,17,1.500000000e+001,0,-1,335,0
8:02:55,6.050000000e+002,0,1791,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,1,0.000000000e+000,Up,Off,Off,17,1.500000000e+001,0,-1,335,0
8:02:56,5.950000000e+002,0,1791,114,76,128459,0,0.000000000e+000,-3,0.000000000e+000,1,0.000000000e+000,Up,Off,Off,17,1.500000000e+001,0,-1,335,0
8:02:57,5.850000000e+002,0,1791,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,335,330
8:02:58,5.760000000e+002,0,1791,114,76,128459,0,0.000000000e+000,-1,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,335,330
8:02:59,5.670000000e+002,0,1791,114,76,128459,0,0.000000000e+000,3,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,335,330
8:03:00,5.590000000e+002,0,1791,114,76,128459,0,0.000000000e+000,2,0.000000000e+000,-2,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,335,330
8:03:01,5.500000000e+002,0,1791,114,76,128459,0,0.000000000e+000,-1,0.000000000e+000,3,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,335,330
8:03:02,5.420000000e+002,0,1791,114,76,128459,0,0.000000000e+000,2,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,335,330
8:03:03,5.340000000e+002,0,1791,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,335,330
8:03:04,5.250000000e+002,0,1791,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,2,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,335,330
8:03:05,5.160000000e+002,0,1758,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,335,330
8:03:07,5.080000000e+002,0,1758,114,76,128459,0,0.000000000e+000,-1,0.000000000e+000,1,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,335,330
8:03:08,5.010000000e+002,0,1758,114,76,128459,0,0.000000000e+000,-2,0.000000000e+000,1,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,335,330
8:03:09,4.920000000e+002,0,1758,114,76,128459,0,0.000000000e+000,2,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,335,330
8:03:10,4.840000000e+002,0,1758,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,335,330
8:03:11,4.770000000e+002,0,1758,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,335,330
8:03:12,4.690000000e+002,0,1758,114,76,128459,0,0.000000000e+000,1,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,335,330
8:03:13,4.630000000e+002,0,1758,114,76,128459,0,0.000000000e+000,-1,0.000000000e+000,1,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,335,330
8:03:14,4.560000000e+002,0,1711,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,335,330
8:03:15,4.480000000e+002,0,1711,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,335,330
8:03:16,4.400000000e+002,0,1711,114,76,128459,0,0.000000000e+000,1,0.000000000e+000,-2,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,335,330
8:03:17,4.330000000e+002,0,1711,114,76,128459,0,0.000000000e+000,1,0.000000000e+000,-1,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,335,330
8:03:18,4.260000000e+002,0,1703,114,76,128459,0,0.000000000e+000,1,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,335,330
8:03:19,4.200000000e+002,0,1703,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,-1,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,335,330
8:03:20,4.130000000e+002,0,1703,114,76,128459,0,0.000000000e+000,1,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,335,330
8:03:21,4.070000000e+002,0,1703,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,335,330
8:03:22,3.990000000e+002,0,1590,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,335,330
8:03:23,3.930000000e+002,0,1583,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,-1,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,335,330
8:03:24,3.870000000e+002,0,1590,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,2,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,335,330
8:03:26,3.800000000e+002,0,1590,114,76,128459,0,0.000000000e+000,2,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,335,330
8:03:27,3.740000000e+002,0,1590,114,76,128459,0,0.000000000e+000,1,0.000000000e+000,-3,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,335,330
8:03:28,3.670000000e+002,0,1590,114,76,128459,0,0.000000000e+000,1,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,335,330
8:03:29,3.610000000e+002,0,1534,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,335,330
8:03:29,3.610000000e+002,0,1534,114,76,128459,0,0.000000000e+000,0,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,335,330
