******************************************************** 
*********  Electric Sweeper Enhanced Log File  ***** 
******************************************************** 
Date,20190228,'VE-Alpha4'
Time,Voltage,Current,Isolation,Range,SoC,Distance,Fan rpm,Fan Torque,Hyd. Pump rpm,Hyd. Pump Torque,SW Pump rpm,SW Pump Torque,Nozzle,Sidebrushes,WideSweepBrush,TempIGBT-Fan,Fan motor temp, Traction rpm, Traction torque,BMS1 Volts, BMS2 Volts 
8:04:07,6.590000000e+002,-91,2062,117,78,128744,0,0.000000000e+000,-2,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,17,1.500000000e+001,0,0,330,328
8:04:08,6.590000000e+002,-100,2062,117,78,128744,0,0.000000000e+000,0,0.000000000e+000,3,0.000000000e+000,Up,Off,Off,17,1.500000000e+001,0,0,330,328
8:04:09,6.600000000e+002,-97,2072,117,78,128744,0,0.000000000e+000,-2,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,17,1.500000000e+001,0,0,330,328
8:04:10,6.590000000e+002,-91,2062,117,78,128744,1,0.000000000e+000,-2,0.000000000e+000,1,0.000000000e+000,Up,Off,Off,17,1.500000000e+001,0,0,330,328
8:04:11,6.580000000e+002,-93,2072,117,78,128744,0,0.000000000e+000,0,0.000000000e+000,-1,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,330,328
8:04:12,6.580000000e+002,-91,2072,117,78,128744,1,0.000000000e+000,1,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,330,328
8:04:13,6.580000000e+002,-90,2072,117,78,128744,0,0.000000000e+000,-1,0.000000000e+000,1,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,330,328
8:04:14,6.580000000e+002,-91,2062,117,78,128744,0,0.000000000e+000,0,0.000000000e+000,-1,0.000000000e+000,Up,Off,Off,17,1.500000000e+001,0,0,330,328
8:04:15,6.580000000e+002,-91,2072,117,78,128744,0,0.000000000e+000,0,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,17,1.500000000e+001,0,0,330,328
8:04:16,6.580000000e+002,-91,2062,117,78,128744,0,0.000000000e+000,1,0.000000000e+000,-2,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,0,330,328
8:04:17,6.570000000e+002,-89,2072,117,78,128744,0,0.000000000e+000,0,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,17,1.500000000e+001,0,0,330,328
8:04:18,6.580000000e+002,-88,2072,117,78,128744,0,0.000000000e+000,1,0.000000000e+000,-1,0.000000000e+000,Up,Off,Off,16,1.500000000e+001,0,-1,330,328
8:04:19,6.580000000e+002,-90,2072,117,78,128744,0,0.000000000e+000,-2,0.000000000e+000,2,0.000000000e+000,Up,Off,Off,17,1.500000000e+001,0,0,330,328
8:04:20,6.570000000e+002,-88,2072,117,78,128744,1,0.000000000e+000,0,0.000000000e+000,0,0.000000000e+000,Up,Off,Off,17,1.500000000e+001,0,0,330,328
